artist_id,day,plays
023406156015ef87f99521f3b343f71f,060,482
023406156015ef87f99521f3b343f71f,061,449
023406156015ef87f99521f3b343f71f,062,474
023406156015ef87f99521f3b343f71f,063,458
023406156015ef87f99521f3b343f71f,064,398
023406156015ef87f99521f3b343f71f,065,415
023406156015ef87f99521f3b343f71f,066,550
023406156015ef87f99521f3b343f71f,067,453
023406156015ef87f99521f3b343f71f,068,411
023406156015ef87f99521f3b343f71f,069,481
023406156015ef87f99521f3b343f71f,070,569
023406156015ef87f99521f3b343f71f,071,725
023406156015ef87f99521f3b343f71f,072,692
023406156015ef87f99521f3b343f71f,073,558
023406156015ef87f99521f3b343f71f,074,791
023406156015ef87f99521f3b343f71f,075,594
023406156015ef87f99521f3b343f71f,076,644
023406156015ef87f99521f3b343f71f,077,423
023406156015ef87f99521f3b343f71f,078,433
023406156015ef87f99521f3b343f71f,079,392
023406156015ef87f99521f3b343f71f,080,635
023406156015ef87f99521f3b343f71f,081,759
023406156015ef87f99521f3b343f71f,082,647
023406156015ef87f99521f3b343f71f,083,594
023406156015ef87f99521f3b343f71f,084,737
023406156015ef87f99521f3b343f71f,085,633
023406156015ef87f99521f3b343f71f,086,746
023406156015ef87f99521f3b343f71f,087,575
023406156015ef87f99521f3b343f71f,088,713
023406156015ef87f99521f3b343f71f,089,779
023406156015ef87f99521f3b343f71f,090,701
023406156015ef87f99521f3b343f71f,091,731
023406156015ef87f99521f3b343f71f,092,954
023406156015ef87f99521f3b343f71f,093,774
023406156015ef87f99521f3b343f71f,094,668
023406156015ef87f99521f3b343f71f,095,622
023406156015ef87f99521f3b343f71f,096,671
023406156015ef87f99521f3b343f71f,097,718
023406156015ef87f99521f3b343f71f,098,802
023406156015ef87f99521f3b343f71f,099,882
023406156015ef87f99521f3b343f71f,100,892
023406156015ef87f99521f3b343f71f,101,900
023406156015ef87f99521f3b343f71f,102,985
023406156015ef87f99521f3b343f71f,103,692
023406156015ef87f99521f3b343f71f,104,691
023406156015ef87f99521f3b343f71f,105,664
023406156015ef87f99521f3b343f71f,106,854
023406156015ef87f99521f3b343f71f,107,774
023406156015ef87f99521f3b343f71f,108,810
023406156015ef87f99521f3b343f71f,109,811
023406156015ef87f99521f3b343f71f,110,697
023406156015ef87f99521f3b343f71f,111,882
023406156015ef87f99521f3b343f71f,112,890
023406156015ef87f99521f3b343f71f,113,704
023406156015ef87f99521f3b343f71f,114,795
023406156015ef87f99521f3b343f71f,115,614
023406156015ef87f99521f3b343f71f,116,661
023406156015ef87f99521f3b343f71f,117,633
023406156015ef87f99521f3b343f71f,118,619
023406156015ef87f99521f3b343f71f,119,620
023406156015ef87f99521f3b343f71f,120,590
023406156015ef87f99521f3b343f71f,121,492
023406156015ef87f99521f3b343f71f,122,477
023406156015ef87f99521f3b343f71f,123,547
023406156015ef87f99521f3b343f71f,124,528
023406156015ef87f99521f3b343f71f,125,476
023406156015ef87f99521f3b343f71f,126,580
023406156015ef87f99521f3b343f71f,127,548
023406156015ef87f99521f3b343f71f,128,461
023406156015ef87f99521f3b343f71f,129,474
023406156015ef87f99521f3b343f71f,130,422
023406156015ef87f99521f3b343f71f,131,414
023406156015ef87f99521f3b343f71f,132,520
023406156015ef87f99521f3b343f71f,133,532
023406156015ef87f99521f3b343f71f,134,744
023406156015ef87f99521f3b343f71f,135,705
023406156015ef87f99521f3b343f71f,136,619
023406156015ef87f99521f3b343f71f,137,633
023406156015ef87f99521f3b343f71f,138,507
023406156015ef87f99521f3b343f71f,139,492
023406156015ef87f99521f3b343f71f,140,540
023406156015ef87f99521f3b343f71f,141,460
023406156015ef87f99521f3b343f71f,142,624
023406156015ef87f99521f3b343f71f,143,445
023406156015ef87f99521f3b343f71f,144,426
023406156015ef87f99521f3b343f71f,145,467
023406156015ef87f99521f3b343f71f,146,562
023406156015ef87f99521f3b343f71f,147,376
023406156015ef87f99521f3b343f71f,148,447
023406156015ef87f99521f3b343f71f,149,461
023406156015ef87f99521f3b343f71f,150,457
023406156015ef87f99521f3b343f71f,151,437
023406156015ef87f99521f3b343f71f,152,505
023406156015ef87f99521f3b343f71f,153,424
023406156015ef87f99521f3b343f71f,154,443
023406156015ef87f99521f3b343f71f,155,465
023406156015ef87f99521f3b343f71f,156,453
023406156015ef87f99521f3b343f71f,157,370
023406156015ef87f99521f3b343f71f,158,410
023406156015ef87f99521f3b343f71f,159,471
023406156015ef87f99521f3b343f71f,160,553
023406156015ef87f99521f3b343f71f,161,420
023406156015ef87f99521f3b343f71f,162,488
